timetag, cc-5d-4e-00-f2-e0, 00-1a-2b-3e-df-09, 00-1a-2b-80-b8-86, 00-24-a8-97-1b-f0, 00-24-a8-97-1b-f2, 00-1b-3f-8e-cc-47, 8c-0c-90-3b-81-b8, 00-1a-2b-50-5f-ae, 00-1a-2b-50-4a-39, 00-1a-2b-3e-db-27, 20-e5-2a-24-dd-ff, 00-1a-2b-3e-d6-4d, cc-5d-4e-01-19-38, 00-1a-2b-3e-cb-c5, 00-23-6a-19-01-c0, 10-c3-7b-54-11-cc, 00-23-6a-48-0d-13, 2c-54-2d-38-ed-36, 00-23-6a-42-32-3d, 00-1a-2b-3e-ce-1a, c8-f9-f9-ec-58-71, 00-0e-8e-2c-42-9c, c8-f9-f9-ec-58-70, 12-18-d6-5b-4f-00, 00-1a-2b-3f-23-90, 0a-18-d6-5b-a1-0e, 14-d6-4d-2b-a2-1c, b4-14-89-f5-04-02, 4c-00-82-e0-71-81, 4c-00-82-e0-71-80, 00-1a-2b-3e-d5-99, b4-14-89-f5-04-04, 00-24-a8-97-1b-f7, b4-14-89-f5-04-05, 00-1a-2b-3e-cd-26, 00-1a-2b-3e-f7-2e, 06-27-22-e3-11-7f, 00-26-f3-d1-dd-d8, e8-39-35-f6-96-55, f8-8e-85-7c-88-42, 00-24-14-e8-6b-90, 00-1a-2b-3e-cb-9f, 38-72-c0-1e-07-c0, 0a-18-d6-5b-4f-00, 20-4e-7f-83-e2-fe, 1c-7e-e5-30-76-10, 38-72-c0-1e-07-ac, c8-d7-19-7a-5a-74, 02-6b-9e-84-29-62, ac-f1-df-a1-22-18, 0e-18-d6-5b-a1-0e, 00-1a-2b-3e-fa-fd, 00-1a-2b-3f-03-e2, f8-8e-85-78-bc-a3, 00-1a-2b-3e-d7-9a, f8-7b-8c-38-a6-61, 0e-18-d6-5b-4f-00, 54-be-f7-ab-8e-98, 08-60-6e-bb-23-a8, 00-1a-2b-3f-04-22, 10-c3-7b-54-11-c8, 10-0d-7f-5d-a6-7e, 00-26-cb-17-c5-20, 00-26-cb-17-c5-21, c4-27-95-2b-63-ae, c0-c1-c0-0d-c9-56, d8-50-e6-92-f7-48, 00-24-c3-72-ea-00, 00-21-29-dc-c1-f6, 38-72-c0-54-57-44, 16-18-d6-5b-a1-0e, 00-1a-2b-99-e2-5e, 38-72-c0-54-59-92, 00-26-f3-91-a3-28, 00-1a-2b-3f-21-21, ec-1a-59-f5-5f-46, 00-1a-2b-3e-f7-5c, 00-19-e3-fb-e9-86, c6-a4-62-0f-f2-10, 0a-18-d6-55-79-28, ae-22-0b-d4-05-f9, 00-24-a8-97-8b-b3, cc-5d-4e-4a-00-a8, 00-24-a8-97-8b-b7, 06-1f-d0-c8-16-b3, 00-26-f2-6c-53-6a, 2c-44-fd-52-e2-35, 00-24-a8-97-9b-90, 2c-44-fd-52-e2-34, 00-24-a8-97-9b-92, 00-24-a8-97-9b-91, 4c-00-82-e0-7b-88, 00-0b-6b-21-8f-60, 2c-44-fd-52-e2-31, 2c-44-fd-52-e2-30, 00-24-a8-97-9b-93, 4c-00-82-e0-7b-89, 2c-44-fd-52-e2-32, 00-24-a8-97-9b-95, a4-0c-c3-97-1c-83, 00-1f-28-c4-7e-8f, 00-1a-2b-3e-d7-51, 58-35-d9-c7-fd-51, 00-24-a8-97-9b-97, 10-9a-dd-81-38-c3, a4-0c-c3-97-1c-84, 58-35-d9-c7-fd-50, c0-4a-00-7f-85-60, 80-ea-96-f0-ea-f0, 60-a4-4c-20-8b-18, 44-32-c8-e1-ed-f8, a4-0c-c3-97-1c-86, 38-72-c0-1e-4d-d9, dc-9f-db-94-b5-71, 00-1a-2b-2b-86-84, 30-46-9a-19-22-fa, a4-0c-c3-97-1c-80, 00-1a-2b-3e-da-ec, 00-25-9c-47-5f-f1, c0-c1-c0-83-64-96, cc-a4-62-0f-f2-10, 00-1a-2b-50-58-6c, 00-13-10-03-56-e5, 00-1a-2b-2b-7c-1d, 28-cf-da-b6-4f-69, 00-1c-0e-43-ac-00, 00-1c-0e-43-ac-01, 44-94-fc-77-c6-32, 12-18-d6-5b-a1-0e, 06-1d-d0-13-b5-a0, 00-1a-2b-3e-f3-5f, f8-ed-a5-01-8e-d0, 00-14-bf-c7-aa-6b, 00-1a-2b-3e-d3-7b, 0a-18-d6-55-79-04, 00-1a-2b-3e-d2-14, 00-23-6a-46-9b-b7, 04-a1-51-e2-2e-66, 00-1a-2b-48-57-b7, 00-1a-2b-3e-f0-d6, 00-1a-2b-50-53-3e, e8-b7-48-97-06-a0, 84-34-97-ae-b6-c5, e0-3f-49-04-05-b0, 38-6b-bb-d4-08-0f, 38-72-c0-54-55-f0, c4-04-15-2d-2f-90, 00-24-01-a5-3a-c0, 00-0e-3b-20-59-d4, 00-24-a8-a6-3d-b7, b4-c7-99-09-58-81, 00-1a-2b-3e-ea-80, b4-c7-99-09-58-80, a0-21-b7-8c-4a-54, 00-24-a8-a6-3d-b3, a0-21-b7-8c-4a-55, 00-1f-33-c7-87-22, 00-1a-2b-50-3e-30, 00-14-bf-72-d0-b4, 68-7f-74-d1-89-e2, 00-18-f8-55-f1-bd, f6-ed-a5-01-8e-d0, 16-18-d6-5b-4f-00, ec-9a-74-66-de-4c
1415405522, 0, 0, 0, 0, 0, 0, 0, -74, 0, 0, 0, -79, 0, 0, -83, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -86, 0, 0, 0, 0, 0, 0, 0, -83, 0, 0, 0, 0, -86, -84, 0, 0, 0, 0, 0, -79, 0, -87, 0, 0, 0, 0, 0, -92, 0, 0, 0, 0, 0, -80, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -88, 0, 0, -90, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -87, 0, 0, 0, -82, -85, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -83, -83, 0, 0, 0, 0, 0, 0
1415405525, 0, 0, 0, 0, 0, 0, 0, -74, 0, 0, 0, -79, 0, 0, -83, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -86, 0, 0, 0, 0, 0, 0, 0, -83, 0, 0, 0, 0, -86, -84, 0, 0, 0, 0, 0, -79, 0, -87, 0, 0, 0, 0, 0, -92, 0, 0, 0, 0, 0, -80, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -88, 0, 0, -90, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -87, 0, 0, 0, -82, -85, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -83, -83, -81, 0, 0, 0, 0, 0
1415405528, 0, 0, 0, 0, 0, 0, 0, -74, 0, 0, 0, -79, 0, 0, -83, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -86, 0, 0, 0, 0, 0, 0, 0, -83, 0, 0, 0, 0, -86, -90, 0, 0, 0, 0, 0, -79, 0, -87, 0, 0, 0, 0, 0, -92, 0, 0, 0, 0, 0, -80, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -88, 0, 0, -90, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -87, 0, 0, 0, -82, -85, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -83, -83, -81, 0, 0, 0, 0, 0
1415405530, 0, 0, 0, 0, 0, 0, 0, -74, 0, 0, 0, -79, 0, 0, -83, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -86, 0, 0, 0, 0, 0, 0, 0, -83, 0, 0, 0, 0, -86, -90, 0, 0, 0, 0, 0, -79, 0, -87, 0, 0, 0, 0, 0, -92, 0, 0, 0, 0, 0, -80, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -88, 0, 0, -90, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -87, 0, 0, 0, -82, -85, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -83, -83, -81, 0, 0, 0, 0, 0
1415405533, 0, 0, 0, 0, 0, 0, 0, -74, 0, 0, 0, -79, 0, 0, -83, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -86, 0, 0, 0, 0, 0, 0, 0, -83, 0, 0, 0, 0, -86, -90, 0, 0, 0, 0, 0, -79, 0, -87, 0, 0, 0, 0, 0, -92, 0, 0, 0, 0, 0, -80, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -88, 0, 0, -90, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -87, 0, 0, 0, -82, -85, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -83, -83, -81, 0, 0, 0, 0, 0
1415405536, 0, 0, 0, 0, 0, 0, 0, -74, 0, 0, 0, -79, 0, 0, -83, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -86, 0, 0, 0, 0, 0, 0, 0, -83, 0, 0, -87, 0, -86, -90, 0, 0, 0, 0, 0, -79, 0, -87, 0, 0, 0, 0, 0, -92, 0, 0, 0, 0, 0, -80, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -88, 0, 0, -90, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -87, 0, 0, 0, -82, -85, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -83, -83, -81, 0, 0, 0, 0, 0
1415405538, 0, 0, 0, 0, 0, 0, 0, -74, 0, 0, 0, -79, 0, 0, -83, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -86, 0, 0, 0, 0, 0, 0, 0, -83, 0, 0, -83, 0, -86, -90, 0, 0, 0, 0, 0, -79, 0, -87, 0, 0, 0, 0, 0, -92, 0, 0, 0, 0, 0, -80, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -88, 0, 0, -90, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -87, 0, 0, 0, -82, -85, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -83, -83, -81, 0, 0, 0, 0, 0
1415405541, 0, 0, 0, 0, 0, 0, 0, -74, 0, 0, 0, -79, 0, 0, -83, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -86, 0, 0, 0, 0, 0, 0, 0, -83, 0, 0, -83, 0, -86, -90, 0, 0, 0, 0, 0, -79, 0, -87, 0, 0, 0, 0, 0, -92, 0, 0, 0, 0, 0, -80, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -88, 0, 0, -90, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -87, 0, 0, 0, -82, -85, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -83, -83, -81, 0, 0, 0, 0, 0
1415405543, 0, 0, 0, 0, 0, 0, 0, -74, 0, 0, 0, -79, 0, 0, -83, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -86, 0, 0, 0, 0, 0, 0, 0, -83, 0, 0, -83, 0, -86, -90, 0, 0, 0, 0, 0, -79, 0, -87, 0, 0, 0, 0, 0, -92, 0, 0, 0, 0, 0, -80, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -88, 0, 0, -90, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -87, 0, 0, 0, -82, -85, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -83, -83, -81, 0, 0, 0, 0, 0
1415405546, 0, 0, 0, 0, 0, 0, 0, -74, 0, 0, 0, -79, 0, 0, -83, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -86, 0, 0, 0, 0, 0, 0, 0, -83, 0, 0, -83, 0, -86, -90, 0, 0, 0, 0, 0, -79, 0, -87, 0, 0, 0, 0, 0, -92, 0, 0, 0, 0, 0, -80, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -90, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -87, 0, 0, 0, -82, -85, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -83, -83, -81, 0, 0, 0, 0, 0
1415405549, 0, 0, 0, 0, 0, 0, 0, -74, 0, 0, 0, -79, 0, 0, -83, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -90, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -86, 0, 0, 0, 0, 0, 0, 0, -83, 0, 0, -83, 0, -86, -90, 0, 0, 0, 0, 0, -79, 0, -87, 0, 0, 0, 0, 0, -92, 0, 0, 0, 0, 0, -80, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -90, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -87, 0, 0, 0, -82, -85, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -83, -83, -81, 0, 0, 0, 0, 0
1415405551, 0, 0, 0, 0, 0, 0, 0, -74, 0, 0, 0, -79, 0, 0, -83, 0, 0, 0, 0, 0, -82, 0, -89, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -90, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -86, 0, 0, 0, 0, 0, 0, 0, -83, 0, 0, -83, 0, -86, -90, 0, 0, 0, -78, -83, -79, 0, -87, 0, 0, 0, 0, 0, -92, 0, 0, 0, 0, 0, -80, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -90, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -87, 0, 0, 0, -82, -85, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -83, -83, -81, 0, 0, 0, 0, 0
1415405554, 0, 0, 0, 0, 0, 0, 0, -74, 0, 0, 0, -79, 0, 0, -83, 0, 0, 0, 0, 0, -82, 0, -89, 0, 0, 0, 0, -80, 0, 0, 0, -81, 0, -81, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -86, 0, 0, 0, 0, 0, 0, 0, -83, 0, 0, -83, 0, -86, -90, 0, 0, 0, -86, -84, -79, 0, -87, 0, 0, 0, 0, 0, -92, 0, 0, 0, 0, 0, -80, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -90, 0, 0, 0, 0, -86, -86, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -87, 0, 0, 0, -82, -85, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -83, -83, -81, 0, 0, 0, 0, 0
1415405557, 0, 0, 0, 0, 0, 0, 0, -74, 0, 0, 0, -79, 0, 0, -83, 0, 0, 0, 0, 0, -82, 0, -89, 0, 0, 0, 0, -87, 0, 0, 0, -85, 0, -81, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -86, 0, 0, 0, 0, 0, 0, 0, -83, 0, 0, -83, 0, -86, -90, 0, 0, 0, -86, -84, -79, 0, -87, 0, 0, 0, 0, 0, -92, 0, 0, 0, 0, 0, -80, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -90, 0, 0, 0, 0, -86, -86, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -87, 0, 0, 0, -82, -85, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -83, -83, -81, 0, 0, 0, 0, 0
1415405559, 0, 0, 0, 0, 0, 0, 0, -74, 0, 0, 0, -79, 0, 0, -83, 0, 0, 0, 0, 0, -82, 0, -89, 0, 0, 0, 0, -59, 0, 0, 0, -60, 0, -62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -86, 0, 0, 0, 0, 0, 0, 0, -83, 0, 0, -83, 0, -86, -90, 0, 0, 0, -86, -84, -79, 0, 0, 0, 0, 0, 0, 0, -92, 0, 0, 0, 0, 0, -80, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -90, 0, 0, 0, 0, -86, -86, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -87, 0, 0, 0, -82, -85, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -83, -83, -81, 0, 0, 0, 0, 0
1415405562, 0, 0, 0, 0, 0, 0, 0, -74, 0, 0, 0, -79, 0, 0, -83, 0, 0, 0, 0, 0, -82, 0, -89, 0, 0, 0, 0, -78, 0, 0, 0, -79, 0, -79, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -83, 0, 0, -83, 0, -86, -90, 0, 0, 0, -86, -84, -79, 0, 0, 0, 0, 0, 0, 0, -92, 0, 0, 0, 0, 0, -80, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -90, 0, 0, 0, 0, -86, -86, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -87, 0, 0, 0, -82, -85, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -83, -83, -81, 0, 0, 0, 0, 0
1415405564, 0, 0, 0, 0, 0, 0, -87, -74, 0, 0, 0, -79, 0, 0, -83, 0, 0, 0, 0, 0, -82, 0, -89, 0, 0, 0, 0, -70, 0, 0, 0, -79, 0, -73, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -83, 0, 0, -83, 0, -86, -90, 0, 0, 0, -86, -84, -79, 0, 0, 0, 0, 0, 0, 0, -92, 0, 0, 0, 0, 0, -80, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -90, 0, 0, 0, 0, -86, -86, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -87, 0, 0, 0, 0, -85, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -83, -83, -81, 0, 0, 0, 0, 0
1415405567, 0, 0, 0, 0, 0, 0, -87, -74, 0, 0, 0, 0, 0, 0, -83, 0, 0, 0, 0, 0, -82, -84, -89, 0, 0, 0, 0, -70, 0, 0, 0, -79, 0, -73, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -83, 0, 0, -83, 0, 0, -90, 0, 0, 0, -86, -84, -79, 0, 0, 0, 0, 0, 0, 0, -92, 0, 0, 0, 0, 0, -80, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -90, 0, 0, 0, 0, -86, -86, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -87, 0, 0, 0, 0, -85, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -83, -83, -81, 0, 0, 0, 0, 0
1415405570, 0, 0, 0, 0, 0, 0, -81, -74, 0, 0, 0, 0, 0, 0, -83, 0, 0, 0, 0, 0, -82, -81, -89, 0, 0, 0, 0, -76, 0, 0, 0, -79, 0, -73, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -83, 0, 0, -90, 0, 0, 0, -86, -84, -79, 0, 0, 0, 0, 0, 0, 0, -92, 0, 0, 0, 0, 0, -80, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -86, -86, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -85, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -83, -83, -81, 0, 0, 0, 0, 0
1415405572, 0, 0, 0, 0, 0, 0, -81, -74, 0, 0, 0, 0, 0, 0, -83, 0, 0, 0, 0, 0, -82, -81, -89, 0, 0, 0, 0, -59, 0, 0, 0, -67, 0, -68, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -83, 0, 0, -90, 0, 0, 0, -86, -84, 0, 0, 0, 0, 0, 0, 0, 0, -92, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -86, -86, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -85, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -83, -83, -81, 0, 0, 0, 0, 0
1415405575, 0, 0, 0, 0, 0, 0, -81, -74, 0, 0, 0, 0, 0, 0, -83, 0, 0, 0, 0, 0, -82, -81, -89, 0, 0, 0, 0, -68, 0, 0, 0, -68, 0, -68, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -83, 0, 0, -90, 0, 0, 0, -86, -84, 0, 0, 0, 0, 0, 0, 0, 0, -92, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -86, -86, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -85, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -83, -83, -81, 0, 0, 0, 0, 0
1415405577, 0, 0, 0, 0, 0, 0, -84, -74, 0, 0, 0, 0, 0, 0, -83, 0, 0, 0, 0, 0, -82, -81, -89, 0, 0, 0, 0, -68, 0, 0, 0, -68, 0, -69, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -83, 0, 0, -90, 0, 0, 0, -86, -84, 0, 0, 0, 0, 0, 0, 0, 0, -92, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -86, -86, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -85, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -83, -83, -81, 0, 0, 0, 0, 0
